youtubeID,shot,concept,start,end,concepts,probability
eaOfgevPphk,shot_31,73686,79.287544,108.733627,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,84.834747
UUkWBLJymlA,shot_3,80189,51.533333,61.733334,#car/#ground_vehicles/#vehicle/#car_racing/#sports_car,54.566666
osTgtz0-UW4,shot_124,8218,586.500000,594.791687,#car/#vehicle/#ground_vehicles/#exiting_car/#minivan,588.416687
cdLrYS_3PmI,shot_82,97147,340.600006,345.799988,#car/#vehicle/#ground_vehicles/#sports_car/#car_racing,344.359985
aRypEBU2u1Y,shot_10,91672,87.212128,95.637207,#car/#ground_vehicles/#vehicle/#exiting_car/#outdoor,94.219124
T1MAsrqyLAc,shot_10,5554,80.400002,90.000000,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,85.000000
dmmSylIE1bE,shot_1,8315,5.320000,10.600000,#car/#ground_vehicles/#vehicle/#car_racing/#sports_car,10.080000
T1MAsrqyLAc,shot_1,5545,8.200000,13.960000,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,13.920000
WdzKJ1DwG20,shot_13,23536,61.311249,67.817749,#car/#sports_car/#ground_vehicles/#car_racing/#vehicle,66.816750
mcCiX6y35Gs,shot_12,12210,65.000000,70.599998,#vehicle/#ground_vehicles/#car/#minivan/#exiting_a_vehicle,65.080002
jFMj5gzeqLQ,shot_24,7575,125.375252,132.549088,#car/#ground_vehicles/#vehicle/#car_racing/#sports_car,131.381256
D7qREVsxpp4,shot_17,6709,187.080002,194.759995,#car/#vehicle/#ground_vehicles/#outdoor/#sports_car,187.320007
RXYv7eymvHo,shot_76,1277,403.480011,409.720001,#vehicle/#car/#ground_vehicles/#car_racing/#sports_car,406.559998
mcCiX6y35Gs,shot_9,12207,52.119999,57.720001,#vehicle/#ground_vehicles/#car/#minivan/#exiting_a_vehicle,52.119999
Fv_cgoOVLGE,shot_15,5630,112.839996,119.080002,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,115.239998
Fv_cgoOVLGE,shot_13,5628,99.879997,107.080002,#car/#vehicle/#ground_vehicles/#car_racing/#sports_car,100.839996
QrkTrUlRn9Y,shot_39,106329,547.833313,552.833313,#vehicle/#car/#ground_vehicles/#van/#exiting_a_vehicle,548.099976
amrZT5ssdQU,shot_3,108464,18.918900,24.958267,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,19.452766
0_IaM6I0IiU,shot_6,89612,23.523500,47.280567,#car/#vehicle/#ground_vehicles/#emergency_vehicles/#police_truck,42.409035
UaZGro6_bdY,shot_11,89936,42.680000,48.119999,#ground_vehicles/#car/#vehicle/#sports_car/#car_racing,47.160000
osTgtz0-UW4,shot_139,8233,678.500000,684.583313,#car/#car_racing/#sports_car/#vehicle/#ground_vehicles,679.000000
-Tzc7SBkcV4,shot_12,115624,62.595867,67.600868,#vehicle/#car/#ground_vehicles/#minivan/#exiting_a_vehicle,62.862801
5KkbTKciCqY,shot_38,84743,36.240002,41.400002,#car/#ground_vehicles/#vehicle/#emergency_vehicles/#police_car,37.080002
bRX9kRQy2P0,shot_9,112511,44.711376,49.916584,#vehicle/#car/#ground_vehicles/#van/#minivan,48.982315
eaOfgevPphk,shot_65,73720,685.267944,690.314636,#vehicle/#ground_vehicles/#car/#outdoor/#sports_car,688.270935
24dgOR2cCbM,shot_35,76427,622.705444,627.918945,#car/#ground_vehicles/#vehicle/#outdoor/#road,625.041077
UaZGro6_bdY,shot_21,89946,105.120003,111.160004,#vehicle/#car/#ground_vehicles/#sports_car/#car_racing,110.639999
